  time              x              y              z             vx             vy             vz
  11.5     -0.5341405     0.82253155              0     -4.8786025     -4.2445678              0
  11.6    -0.75012881     0.56727511              0       -3.42976     -5.7781844              0
  11.6    -0.87711649     0.24471311              0     -1.3933065     -6.7710956              0
  11.7    -0.88945946    -0.10983445              0     0.97266072     -6.9403594              0
  11.7    -0.77985042    -0.44932283              0      3.2478725     -6.1815145              0
  11.8    -0.56467221     -0.7279859              0      5.0162108     -4.6545044              0
  11.8    -0.27822934    -0.91477327              0      6.0429988     -2.7029004              0
  11.9    0.039627678    -0.99827595              0      6.3179192    -0.68201749              0
  11.9     0.35356258    -0.98297502              0       5.972585      1.1570743              0
    12     0.63688618    -0.88256851              0      5.1789089      2.6837733              0
    12     0.87145346    -0.71459769              0      4.0904532      3.8521525              0
  12.1      1.0459315    -0.49735327              0      2.8250559      4.6608685              0
  12.1      1.1539591    -0.24851083              0      1.4681047      5.1259705              0
  12.2       1.192742    0.015243783              0    0.082072232      5.2662279              0
  12.2      1.1621663     0.27811196              0      -1.283695      5.0965074              0
  12.3      1.0643725     0.52489453              0     -2.5843727      4.6257086              0
  12.3     0.90372901     0.74068282              0     -3.7719547      3.8575479              0
  12.4     0.68717701     0.91064932              0     -4.7878177      2.7940065              0
  12.4     0.42494723      1.0200835              0     -5.5553954      1.4426095              0
  12.5     0.13163746      1.0549103              0     -5.9743306    -0.17003284              0
  12.5    -0.17248582      1.0030802              0     -5.9210065     -1.9755577              0
  12.6    -0.46046318      0.8573545              0     -5.2664727     -3.8325886              0
  12.6    -0.69913309     0.61982134              0     -3.9274107     -5.5006795              0
  12.7    -0.85320425     0.30728656              0     -1.9522984     -6.6573566              0
  12.7    -0.89436294   -0.045914319              0     0.40584231      -7.000923              0
  12.8    -0.81262002    -0.39280574              0      2.7256267     -6.4105708              0
  12.8    -0.62180027     -0.6869714              0      4.5878147     -5.0310408              0
  12.9    -0.35383856    -0.89590982              0      5.7499707     -3.1894341              0
  12.9   -0.046803198     -1.0059148              0      6.1859431     -1.2278707              0
    13     0.26475575     -1.0186969              0      6.0070849     0.60660151              0
    13      0.5539053    -0.94525466              0      5.3672804      2.1782663              0
  13.1     0.80148379    -0.80087026              0      4.4077388      3.4311025              0
  13.1     0.99467918     -0.6021444              0      3.2394044        4.35257              0
  13.2      1.1254242    -0.36561326              0      1.9445437      4.9483998              0
  13.2      1.1891335    -0.10730442              0     0.58465284      5.2283986              0
  13.3      1.1838895     0.15722659              0    -0.79082356      5.1995236              0
  13.3      1.1100512     0.41264794              0     -2.1363839      4.8632222              0
  13.4     0.97025112     0.64354881              0     -3.4027577      4.2155677              0
  13.4     0.76977542     0.83420471              0     -4.5289853      3.2501676              0
  13.5     0.51735259     0.96856557              0      -5.434102      1.9652283              0
  13.5     0.22636522      1.0307275              0     -6.0098516     0.37762184              0
  13.6    -0.08363257      1.0063278              0      -6.119793      -1.452573              0
  13.6    -0.38561408     0.88547024              0     -5.6171555      -3.387262              0
  13.7    -0.64534812     0.66760155              0     -4.3990576     -5.1804324              0
  13.7    -0.82551984     0.36742701              0     -2.4990902     -6.4950186              0
  13.8    -0.89525715     0.01809969              0    -0.16408645      -7.011427              0
  13.8    -0.84192849    -0.33371569              0       2.185206     -6.5929144              0
  13.9    -0.67673655    -0.64119175              0      4.1281958     -5.3684626              0
  13.9    -0.42910891    -0.87056195              0      5.4157674     -3.6476496              0
    14    -0.13515981     -1.0059567              0      6.0065537     -1.7584149              0
    14     0.17154646     -1.0464034              0      5.9921192    0.057277672              0
  14.1     0.46405212     -1.0002289              0      5.5084705      1.6598747              0
  14.1     0.72239351    -0.88041598              0      4.6841345      2.9845411              0
  14.2     0.93246557    -0.70177483              0       3.622444       4.008577              0
  14.2      1.0846379    -0.47955828              0      2.4016256      4.7281038              0
  14.3      1.1726281    -0.22896446              0      1.0812192      5.1443753              0
  14.3      1.1927598    0.034879253              0    -0.29021221      5.2566137              0
  14.4      1.1436069     0.29669691              0     -1.6674601      5.0587922              0
  14.4      1.0260138     0.54075848              0     -3.0009584      4.5391263              0
  14.5     0.84351106     0.75060954              0     -4.2283686      3.6824013              0
  14.5     0.60317696      0.9089986              0     -5.2652132      2.4767667              0
  14.6     0.31698974      0.9982862              0     -5.9960148     0.92829859              0
  14.6   0.0035754758      1.0018285              0     -6.2717949    -0.91249709              0
  14.7    -0.31018974     0.90703649              0      -5.927767     -2.9120853              0
  14.7    -0.58920123     0.71061993              0     -4.8409685     -4.8199345              0
  14.8    -0.79428659     0.42504304              0     -3.0294431     -6.2853337              0
  14.8    -0.89214553    0.082086558              0    -0.73274162     -6.9717905              0
  14.9    -0.86756075    -0.27213601              0      1.6307966     -6.7271387              0
  14.9    -0.72906587    -0.59062731              0      3.6409875      -5.664143              0
    15      -0.503462     -0.8385503              0       5.043137     -4.0739439              0
    15    -0.22475217     -0.9980217              0      5.7813809      -2.269417              0
  15.1    0.074676092      -1.065492              0      5.9280815    -0.48641303              0
  15.1     0.36805598      -1.046663              0      5.6016213      1.1329532              0
  15.2     0.63483822    -0.95219669              0      4.9176163      2.5163294              0
  15.2     0.85981761    -0.79503007              0      3.9711676      3.6319358              0
  15.3       1.031955    -0.58900311              0      2.8356269       4.467062              0
  15.3      1.1433803    -0.34832387              0      1.5676568      5.0149086              0
  15.4      1.1887207   -0.087512246              0     0.21398948      5.2672369              0
  15.4      1.1647793     0.17839982              0     -1.1814266        5.21063              0
  15.5       1.070578     0.43355075              0     -2.5697243      4.8253318              0
  15.5     0.90780682       0.660933              0     -3.8881977      4.0869508              0
  15.6     0.68175824     0.84224584              0     -5.0498215      2.9729144              0
  15.6     0.40282467     0.95822444              0       -5.93267      1.4774929              0
  15.7    0.088491237     0.98999513              0     -6.3756128    -0.35964657              0
  15.7     -0.2347366     0.92225978              0     -6.1957565     -2.4107998              0
  15.8    -0.53108442     0.74891515              0     -5.2496576     -4.4219936              0
  15.8    -0.75970236     0.48006042              0     -3.5392546     -6.0299193              0
  15.9    -0.88500988     0.14592321              0     -1.2957484     -6.8823189              0
  15.9     -0.8892772    -0.20817148              0      1.0667032     -6.8122097              0
    16    -0.77833956    -0.53529776              0      3.1300531     -5.9157851              0
    16    -0.57627189    -0.79974998              0      4.6351477     -4.4649769              0
  16.1    -0.31482479    -0.98179545              0      5.5124375     -2.7568157              0
  16.1   -0.025028136     -1.0754316              0      5.8157769     -1.0200513              0
  16.2      0.2667529     -1.0838006              0       5.646279     0.60190361              0
  16.2     0.53959977     -1.0152412              0      5.1065227      2.0304824              0
  16.3     0.77740517    -0.88075234              0      4.2828597      3.2259385              0
  16.3     0.96788574    -0.69264735              0        3.24302      4.1675692              0
  16.4      1.1017072    -0.46399542              0      2.0399343      4.8411048              0
  16.4      1.1718792    -0.20853687              0     0.71759628      5.2312174              0
  16.5      1.1734668    0.059126324              0    -0.68226074      5.3172876              0
  16.5      1.1036531     0.32319189              0      -2.112479      5.0715791              0
  16.6      0.9622189     0.56628423              0     -3.5110426      4.4602657              0
  16.6     0.75254884     0.76921846              0     -4.7894153      3.4494683              0
  16.7     0.48327737     0.91123106              0     -5.8200853      2.0206978              0
  16.7     0.17054031     0.97128825              0     -6.4302514     0.20154982              0
  16.8    -0.15974778     0.93138604              0     -6.4189268     -1.8873574              0
  16.8    -0.47135238     0.78255251              0      -5.621912     -3.9897086              0
  16.9    -0.72193898     0.53241518              0     -4.0245889     -5.7307444              0
  16.9    -0.87381127     0.20947808              0      -1.848773     -6.7437018              0
    17    -0.90681628    -0.14195499              0     0.49731647     -6.8474768              0
    17    -0.82407962    -0.47526961              0      2.5994559     -6.1214444              0
  17.1    -0.64687069    -0.75409944              0      4.1951628     -4.8177018              0
  17.1    -0.40456334    -0.95703978              0      5.2021011     -3.2167578              0
  17.2    -0.12666058     -1.0757752              0      5.6564128     -1.5393208              0
  17.2     0.16107794     -1.1109719              0      5.6423943    0.071137469              0
  17.3     0.43757885     -1.0686615              0      5.2495649      1.5311349              0
  17.3     0.68603444    -0.95785838              0      4.5551143      2.7940953              0
  17.4     0.89309028    -0.78925193              0      3.6204978      3.8322163              0
  17.4      1.0480842    -0.57463675              0      2.4941338      4.6244176              0
  17.5      1.1425037    -0.32681018              0      1.2164183      5.1487469              0
  17.5       1.169726   -0.059762064              0     -0.1740628      5.3776714              0
  17.6      1.1250974     0.21095697              0      -1.632878      5.2755727              0
  17.6      1.0064382     0.46779521              0      -3.099795      4.7990334              0
  17.7     0.81511787      0.6908603              0     -4.4858687      3.9023698              0
  17.7     0.55785138     0.85803219              0     -5.6589459       2.553444              0
  17.8     0.24922328      0.9462047              0     -6.4351274     0.76659035              0
  17.8   -0.085661364     0.93469122              0     -6.5954504     -1.3458855              0
  17.9    -0.41032176     0.81161615              0      -5.954815     -3.5264422              0
  17.9    -0.68114287       0.582047              0      -4.481705      -5.390113              0
    18    -0.85849226     0.27260485              0      -2.387554     -6.5570087              0
    18    -0.91989827   -0.073653865              0   -0.072920132     -6.8326804              0
  18.1    -0.86578427    -0.41066319              0      2.0534261     -6.2795475              0
  18.1    -0.71455566    -0.70160862              0      3.7268121     -5.1293926              0
  18.2    -0.49310306    -0.92360245              0      4.8530925     -3.6456311              0
  18.2    -0.22924641     -1.0661717              0       5.451586     -2.0400456              0
  18.3    0.052055535      -1.127607              0      5.5903193    -0.45496145              0
  18.3     0.32978552     -1.1116679              0       5.345834       1.022507              0
  18.4     0.58663894     -1.0253563              0      4.7858514      2.3401057              0
  18.4     0.80837066    -0.87765731              0       3.964998      3.4638696              0
  18.5     0.98313874    -0.67896935              0      2.9264792      4.3666373              0
  18.5      1.1010186    -0.44099357              0      1.7062922       5.020384              0
  18.6       1.153768    -0.17693094              0     0.33897509      5.3910535              0
  18.6      1.1349161    0.098111776              0     -1.1347803      5.4353487              0
  18.7      1.0402899     0.36660392              0     -2.6576468      5.1002092              0
  18.7     0.86915141     0.60813269              0     -4.1414278      4.3277412              0
  18.8     0.62614715     0.79937804              0     -5.4503499      3.0713387              0
  18.8     0.32411642     0.91526657              0     -6.3900734      1.3309399              0
  18.9   -0.012860188     0.93247203              0     -6.7238822    -0.79065125              0
  18.9    -0.34827179     0.83620144              0     -6.2457665     -3.0357929              0
    19    -0.63743684     0.62889274              0     -4.9070833     -5.0106469              0
    19    -0.83898012     0.33513675              0     -2.9079345     -6.3236829              0
  19.1    -0.92823029  -0.0034755483              0    -0.63954552     -6.7679571              0
  19.1    -0.90293467    -0.34165896              0      1.4963267      -6.388908              0
  19.2    -0.77859762    -0.64236635              0      3.2339606     -5.3976694              0
  19.2    -0.57953861    -0.88142589              0      4.4684507     -4.0400964              0
  19.3    -0.33175255      -1.046376              0       5.203266     -2.5182245              0
  19.3   -0.059212011     -1.1332483              0      5.4908014    -0.97207347              0
  19.4     0.21732759     -1.1435833              0      5.3948045     0.50886971              0
  19.4     0.48026844     -1.0823614              0      4.9733305      1.8678285              0
  19.5     0.71466064    -0.95680048              0      4.2737244      3.0656486              0
  19.5     0.90764089    -0.77579652              0      3.3333644      4.0698778              0
  19.6      1.0479971     -0.5498127              0      2.1831126      4.8470526              0
  19.6      1.1259521    -0.29109126              0     0.85260063      5.3570797              0
  19.7      1.1332571   -0.014104727              0    -0.62221972      5.5492933              0
  19.7      1.0637302     0.26383807              0     -2.1880654      5.3610447              0
  19.8      0.9144506     0.52199975              0     -3.7586934      4.7219204              0
  19.8     0.68786083     0.73603011              0     -5.1957984      3.5701057              0
  19.9     0.39487076     0.87901032              0     -6.2953376      1.8900696              0
  19.9    0.058327068     0.92503707              0     -6.8031688    -0.22602444              0
    20    -0.28544612     0.85640788              0     -6.4925012     -2.5215648              0
    20    -0.59092305     0.67288059              0     -5.2974509     -4.5952652              0
  20.1     -0.8151912     0.39688136              0     -3.4058929     -6.0455321              0
  20.1    -0.93151233    0.068327379              0     -1.1981165     -6.6538419              0
