  time              x              y              z             vx             vy             vz
  18.3    -0.19513392     -1.0037918              0      6.2085712    -0.24540777              0
  18.4     0.11529464     -1.0160622              0      5.9957359      1.6302553              0
  18.4     0.41508143    -0.93454939              0      5.2294905      3.3554449              0
  18.5     0.67655596    -0.76677715              0        3.98056      4.7709248              0
  18.5     0.87558396    -0.52823091              0      2.3642213      5.7460455              0
  18.6     0.99379502    -0.24092863              0     0.52966365      6.1908026              0
  18.6      1.0202782    0.068611499              0     -1.3537823       6.064145              0
  18.7     0.95258909     0.37181875              0     -3.1122734      5.3777631              0
  18.7     0.79697542      0.6407069              0     -4.5834997      4.1950103              0
  18.8     0.56780044     0.85045742              0     -5.6316662      2.6250556              0
  18.8     0.28621713      0.9817102              0     -6.1600265     0.81280664              0
  18.9   -0.021784197      1.0223505              0     -6.1198126     -1.0744649              0
  18.9    -0.32777483     0.96862729              0     -5.5147363     -2.8625626              0
    19    -0.60351164     0.82549915              0     -4.4006465     -4.3864441              0
    19    -0.82354396     0.60617695              0     -2.8803743     -5.5054541              0
  19.1    -0.96756268     0.33090424              0     -1.0942418     -6.1163074              0
  19.1     -1.0222748    0.025088876              0     0.79288983     -6.1626217              0
  19.2    -0.98263028    -0.28304221              0      2.6068373     -5.6401224              0
  19.2    -0.85228841    -0.56504833              0       4.180172     -4.5970363              0
  19.3    -0.64327981    -0.79490014              0      5.3676744      -3.129641              0
  19.3    -0.37489609    -0.95138219              0      6.0597371     -1.3733779              0
  19.4   -0.071909235     -1.0200511              0      6.1924825     0.50964884              0
  19.4     0.23771489    -0.99456864              0      5.7536579      2.3456346              0
  19.5     0.52539778    -0.87728691              0      4.7837672      3.9651169              0
  19.5     0.76458614    -0.67903106              0      3.3723319      5.2186165              0
  19.6     0.93320274    -0.41810024              0      1.6496283      5.9904347              0
  19.6      1.0156842     -0.1185785              0      -0.225337       6.209332              0
  19.7      1.0044173      0.1918881              0     -2.0795036      5.8551043              0
  19.7     0.90044212     0.48464331              0     -3.7417307      4.9604468              0
  19.8     0.71335559     0.73266565              0     -5.0585937      3.6079371              0
  19.8      0.4604259     0.91306251              0     -5.9085456      1.9224126              0
  19.9     0.16499862      1.0091831              0      -6.213135    0.059448286              0
  19.9    -0.14565813      1.0121556              0     -5.9442484     -1.8090032              0
    20    -0.44287054      0.9217054              0     -5.1267039     -3.5104825              0
    20    -0.69920574     0.74618127              0     -3.8359616     -4.8879422              0
  20.1    -0.89100382     0.50178416              0     -2.1911578     -5.8142419              0
